FIGHTER,STRIKES,TD_ATTEMPT,SUB_ATTEMPT,WINS,LOSSES,TOTAL_FIGHTS,WINNER,HEIGHT,REACH,AGE
Chan Sung Jung,46,0,0,16,5,21,1,170.18,182.88,31
Frankie Edgar,9,0,0,23,8,31,0,167.64,172.72,36
Volkan Oezdemir,63,0,0,17,4,21,1,187.96,190.5,29
Aleksandar Rakic,75,1,1,12,2,14,0,193.04,198.12,27
Charles Jourdain,64,0,0,10,2,12,1,175.26,175.26,23
Dooho Choi,42,0,0,14,4,18,0,177.8,177.8,25
Kyung Ho Kang,20,3,0,17,8,25,1,175.26,185.42,30
Liu Pingyuan,25,0,0,13,7,20,0,167.64,182.88,25
SeungWoo Choi,95,0,0,11,3,14,1,182.88,187.96,26
Suman Mokhtarian,33,0,0,8,5,13,0,177.8,170.18,26
Alexandre Pantoja,34,1,0,22,4,26,1,165.1,170.18,28
Matt Schnell,20,0,0,14,5,19,0,172.72,177.8,28
Raoni Barcelos,42,2,0,15,1,16,1,170.18,170.18,32
Said Nurmagomedov,55,0,0,13,2,15,0,172.72,177.8,26
Kamaru Usman,175,0,0,16,1,17,1,182.88,193.04,30
Colby Covington,143,0,0,15,2,17,0,180.34,182.88,28
Alexander Volkanovski,157,0,0,21,1,22,1,167.64,180.34,29
Max Holloway,134,0,0,21,5,26,0,180.34,175.26,27
Amanda Nunes,79,8,2,19,4,23,1,172.72,175.26,29
Germaine de Randamie,40,0,1,9,4,13,0,175.26,180.34,32
Marlon Moraes,59,1,0,23,6,29,1,167.64,170.18,29
Jose Aldo,58,0,0,28,6,34,0,170.18,177.8,32
Petr Yan,54,2,0,14,1,15,1,170.18,170.18,25
Urijah Faber,18,0,0,35,11,46,0,167.64,170.18,37
Geoff Neal,15,0,0,13,2,15,1,180.34,190.5,28
Mike Perry,5,0,0,13,6,19,0,177.8,180.34,26
Matt Brown,30,2,0,22,16,38,1,182.88,190.5,36
Ben Saunders,12,0,4,22,13,35,0,187.96,195.58,36
Brandon Moreno,91,0,0,16,5,21,1,170.18,177.8,24
Kai Kara-France,82,0,0,20,8,28,0,165.1,175.26,25
Marina Rodriguez,56,0,0,12,0,12,1,167.64,165.1,31
Cynthia Calvillo,78,3,0,8,1,9,0,162.56,162.56,31
Ben Rothwell,58,0,0,29,12,41,1,193.04,198.12,34
Stefan Struve,53,0,0,37,12,49,0,210.82,213.36,31
Aspen Ladd,47,2,0,9,1,10,1,167.64,167.64,24
Yana Kunitskaya,47,0,0,12,5,17,0,167.64,172.72,29
Cody Stamann,41,5,0,18,2,20,1,167.64,162.56,29
Song Yadong,30,0,0,14,3,17,0,172.72,170.18,20
Rob Font,90,1,0,17,4,21,1,172.72,180.34,31
Ricky Simon,59,6,0,15,3,18,0,167.64,175.26,25
Tim Means,23,0,1,29,11,40,1,187.96,190.5,35
Thiago Alves,13,0,0,23,15,38,0,175.26,177.8,35
Jan Blachowicz,71,0,0,25,8,33,1,187.96,198.12,35
Jacare Souza,20,0,0,26,8,34,0,185.42,182.88,39
Mauricio Rua,25,1,0,26,11,37,1,185.42,193.04,37
Paul Craig,51,1,1,12,4,16,0,190.5,193.04,30
Charles Oliveira,10,0,0,28,8,36,1,177.8,187.96,29
Jared Gordon,7,0,0,15,4,19,0,175.26,172.72,30
James Krause,102,0,0,27,7,34,1,187.96,185.42,32
Sergio Moraes,41,1,0,14,6,20,0,182.88,182.88,36
Francisco Trinaldo,31,1,1,24,7,31,1,175.26,177.8,40
Bobby Green,50,2,0,24,10,34,0,177.8,180.34,32
Randy Brown,16,1,1,12,3,15,1,190.5,198.12,28
Warlley Alves,3,3,2,13,4,17,0,180.34,182.88,28
Douglas Silva de Andrade,74,0,0,26,3,29,1,170.18,172.72,33
Renan Barao,58,2,0,34,9,43,0,167.64,177.8,32
Zabit Magomedsharipov,96,1,0,18,1,19,1,185.42,185.42,27
Calvin Kattar,80,0,0,20,4,24,0,180.34,182.88,30
Alexander Volkov,86,0,0,31,7,38,1,200.66,203.2,28
Greg Hardy,46,0,0,5,2,7,0,195.58,203.2,30
Jorge Masvidal,112,1,0,35,13,48,1,180.34,187.96,31
Nate Diaz,43,0,0,20,12,32,0,182.88,193.04,31
Darren Till,36,1,0,18,2,20,1,182.88,187.96,26
Kelvin Gastelum,40,1,0,15,5,20,0,175.26,180.34,27
Derrick Lewis,31,1,0,22,7,29,1,190.5,200.66,34
Blagoy Ivanov,20,3,1,18,3,21,0,180.34,185.42,32
Kevin Lee,21,0,0,18,5,23,1,175.26,195.58,26
Gregor Gillespie,9,0,0,13,1,14,0,170.18,180.34,32
Corey Anderson,22,1,0,13,4,17,1,190.5,200.66,28
Johnny Walker,1,0,0,17,4,21,0,195.58,208.28,26
Shane Burgos,105,0,0,13,1,14,1,180.34,190.5,27
Makwan Amirkhani,22,3,1,15,4,19,0,177.8,182.88,30
Jairzinho Rozenstruik,5,0,0,10,0,10,1,193.04,198.12,30
Andrei Arlovski,4,0,0,28,19,47,0,190.5,195.58,39
Demian Maia,69,0,1,28,9,37,1,185.42,182.88,41
Ben Askren,63,4,0,19,2,21,0,180.34,185.42,34