FIGHTER,STRIKES,TD_ATTEMPT,SUB_ATTEMPT,WINNER
Chan Sung Jung,46,0,0,1
Frankie Edgar,9,0,0,0
Volkan Oezdemir,63,0,0,1
Aleksandar Rakic,75,1,1,0
Charles Jourdain,64,0,0,1
Dooho Choi,42,0,0,0
Da-Un Jung,5,0,0,1
Mike Rodriguez,4,0,0,0
Junyong Park,77,5,0,1
Marc-Andre Barriault,51,0,0,0
Kyung Ho Kang,20,3,0,1
Liu Pingyuan,25,0,0,0
Ciryl Gane,65,0,0,1
Tanner Boser,32,0,0,0
SeungWoo Choi,95,0,0,1
Suman Mokhtarian,33,0,0,0
Omar Morales,32,1,0,1
Dong Hyun Ma,15,0,0,0
Alexandre Pantoja,34,1,0,1
Matt Schnell,20,0,0,0
Raoni Barcelos,42,2,0,1
Said Nurmagomedov,55,0,0,0
Amanda Lemos,8,1,1,1
Miranda Granger,4,0,0,0
Heili Alateng,47,4,0,1
Ryan Benoit,68,0,0,0
Kamaru Usman,175,0,0,1
Colby Covington,143,0,0,0
Alexander Volkanovski,157,0,0,1
Max Holloway,134,0,0,0
Amanda Nunes,79,8,2,1
Germaine de Randamie,40,0,1,0
Marlon Moraes,59,1,0,1
Jose Aldo,58,0,0,0
Petr Yan,54,2,0,1
Urijah Faber,18,0,0,0
Geoff Neal,15,0,0,1
Mike Perry,5,0,0,0
Irene Aldana,26,0,0,1
Ketlen Vieira,20,0,0,0
Omari Akhmedov,55,2,0,1
Ian Heinisch,53,3,0,0
Matt Brown,30,2,0,1
Ben Saunders,12,0,4,0
Chase Hooper,20,1,2,1
Daniel Teymur,2,0,1,0
Brandon Moreno,91,0,0,1
Kai Kara-France,82,0,0,0
Jessica Eye,98,0,0,1
Viviane Araujo,56,2,0,0
Punahele Soriano,26,1,0,1
Oskar Piechota,8,0,0,0
Jairzinho Rozenstruik,89,0,0,1
Alistair Overeem,74,2,0,0
Marina Rodriguez,56,0,0,1
Cynthia Calvillo,78,3,0,0
Ben Rothwell,58,0,0,1
Stefan Struve,53,0,0,0
Aspen Ladd,47,2,0,1
Yana Kunitskaya,47,0,0,0
Cody Stamann,41,5,0,1
Song Yadong,30,0,0,0
Rob Font,90,1,0,1
Ricky Simon,59,6,0,0
Tim Means,23,0,1,1
Thiago Alves,13,0,0,0
Billy Quarantillo,74,1,5,1
Jacob Kilburn,3,0,0,0
Bryce Mitchell,6,1,1,1
Matt Sayles,2,0,0,0
Joe Solecki,56,4,0,1
Matt Wiman,10,0,0,0
Virna Jandiroba,7,3,3,1
Mallory Martin,9,0,0,0
Makhmud Muradov,91,1,1,1
Trevor Smith,39,0,0,0
Jan Blachowicz,71,0,0,1
Jacare Souza,20,0,0,0
Mauricio Rua,25,1,0,1
Paul Craig,51,1,1,0
Charles Oliveira,10,0,0,1
Jared Gordon,7,0,0,0
Andre Muniz,22,3,2,1
Antonio Arroyo,29,1,0,0
Wellington Turman,48,2,0,1
Markus Perez,49,0,0,0
James Krause,102,0,0,1
Sergio Moraes,41,1,0,0
Ricardo Ramos,10,2,1,1
Eduardo Garagorri,6,0,0,0
Francisco Trinaldo,31,1,1,1
Bobby Green,50,2,0,0
Randy Brown,16,1,1,1
Warlley Alves,3,3,2,0
Douglas Silva de Andrade,74,0,0,1
Renan Barao,58,2,0,0
Ariane Lipski,31,0,1,1
Isabela de Padua,15,2,1,0
Tracy Cortez,79,2,0,1
Vanessa Melo,40,0,0,0
Zabit Magomedsharipov,96,1,0,1
Calvin Kattar,80,0,0,0
Alexander Volkov,86,0,0,1
Greg Hardy,46,0,0,0
Danny Roberts,37,1,0,1
Zelim Imadaev,28,1,0,0
Ed Herman,81,0,0,1
Khadis Ibragimov,53,2,0,0
Anthony Rocco Martin,41,0,2,1
Ramazan Emeev,30,0,0,0
Shamil Gamzatov,64,0,0,1
Klidson Abreu,32,1,0,0
Magomed Ankalaev,44,1,0,1
Dalcha Lungiambula,6,0,0,0
Rustam Khabilov,12,4,0,1
Sergey Khandozhko,25,0,0,0
Karl Roberson,43,1,1,1
Roman Kopylov,37,0,0,0
David Zawada,2,0,2,1
Abubakar Nurmagomedov,4,1,0,0
Roosevelt Roberts,28,0,0,1
Alexander Yakovlev,20,3,0,0
Pannie Kianzad,98,0,0,1
Jessica-Rose Clark,65,0,0,0
Davey Grant,30,6,0,1
Grigorii Popov,35,0,0,0
Jorge Masvidal,112,1,0,1
Nate Diaz,43,0,0,0
Darren Till,36,1,0,1
Kelvin Gastelum,40,1,0,0
Stephen Thompson,138,0,0,1
Vicente Luque,77,0,0,0
Derrick Lewis,31,1,0,1
Blagoy Ivanov,20,3,1,0
Kevin Lee,21,0,0,1
Gregor Gillespie,9,0,0,0
Corey Anderson,22,1,0,1
Johnny Walker,1,0,0,0
Shane Burgos,105,0,0,1
Makwan Amirkhani,22,3,1,0
Edmen Shahbazyan,14,0,0,1
Brad Tavares,3,0,0,0
Jairzinho Rozenstruik,5,0,0,1
Andrei Arlovski,4,0,0,0
Katlyn Chookagian,73,0,0,1
Jennifer Maia,58,1,0,0
Lyman Good,68,0,0,1
Chance Rencountre,23,0,0,0
Hakeem Dawodu,55,0,0,1
Julio Arce,32,1,0,0
Demian Maia,69,0,1,1
Ben Askren,63,4,0,0
Stevie Ray,85,1,0,1
Michael Johnson,78,0,0,0
Beneil Dariush,13,2,1,1
Frank Camacho,3,0,0,0
Ciryl Gane,94,3,1,1
Don'Tale Mayes,32,0,0,0
Muslim Salikhov,63,3,0,1
Laureano Staropoli,42,0,0,0
Randa Markos,78,0,0,1
Ashley Yoder,44,2,0,0
Rafael Fiziev,66,1,0,1
Alex White,55,0,0,0
Movsar Evloev,71,4,0,1
Enrique Barzola,78,1,0,0
Sergei Pavlovich,20,0,0,1
Maurice Greene,8,0,0,0
Loma Lookboonmee,99,1,0,1
Alexandra Albu,65,1,0,0
Raphael Pessoa,39,0,0,1
Jeff Hughes,34,0,0,0
Dominick Reyes,8,0,0,1
Chris Weidman,3,1,0,0
Yair Rodriguez,96,0,0,1
Jeremy Stephens,50,3,0,0
Greg Hardy,54,0,0,1
Ben Sosoli,26,0,0,0
Joe Lauzon,25,1,0,1
Jonathan Pearce,8,0,0,0
Maycee Barber,34,0,0,1
Gillian Robertson,12,0,0,0
Darren Stewart,57,1,0,1
Deron Winn,29,6,0,0
Charles Rosa,6,0,1,1
Manny Bermudez,27,1,0,0
Molly McCann,113,5,1,1
Diana Belbita,98,1,0,0
Sean Woodson,111,0,0,1
Kyle Bochniak,42,1,0,0
Randy Costa,22,0,0,1
Boston Salmon,12,0,0,0
Sean Brady,119,2,0,1
Court McGee,107,0,0,0
Brendan Allen,10,2,4,1
Kevin Holland,22,1,1,0
Tanner Boser,93,0,0,1
Daniel Spitz,32,0,0,0
Joanna Jedrzejczyk,180,3,1,1
Michelle Waterson,58,1,1,0
Cub Swanson,135,0,0,1
Kron Gracie,86,0,0,0
Niko Price,11,0,0,1
James Vick,9,0,0,0
Amanda Ribas,74,2,0,1
Mackenzie Dern,20,0,0,0
Matt Frevola,48,4,0,1
Luis Pena,51,1,2,0
Eryk Anders,64,0,0,1
Gerald Meerschaert,72,0,0,0
Ryan Spann,17,0,1,1
Devin Clark,17,2,0,0
Mike Davis,139,2,0,1
Thomas Gifford,88,0,0,0
Alex Morono,81,0,0,1
Max Griffin,75,4,0,0
Deiveson Figueiredo,8,0,1,1
Tim Elliott,26,1,0,0
Marlon Vera,80,0,2,1
Andre Ewell,50,0,0,0
Miguel Baeza,35,1,0,1
Hector Aldana,8,0,0,0
Marvin Vettori,85,0,0,1
Andrew Sanchez,39,0,0,0
JJ Aldrich,74,1,0,1
Lauren Mueller,54,1,0,0
Israel Adesanya,40,0,0,1
Robert Whittaker,32,0,0,0
Dan Hooker,98,0,0,1
Al Iaquinta,37,0,0,0
Serghei Spivac,23,6,1,1
Tai Tuivasa,21,0,0,0
Dhiego Lima,32,2,0,1
Luke Jumeau,24,0,0,0
Yorgan De Castro,4,0,0,1
Justin Tafa,6,0,0,0
Jake Matthews,59,0,0,1
Rostem Akman,15,0,0,0
Callan Potter,48,3,0,1
Maki Pitolo,60,0,1,0
Brad Riddell,91,1,0,1
Jamie Mullarkey,36,3,1,0
Megan Anderson,10,1,1,1
Zarah Fairn,2,0,0,0
Ji Yeon Kim,80,0,0,1
Nadia Kassem,45,1,0,0
Khalid Taha,38,0,1,1
Bruno Silva,20,2,0,0
Jared Cannonier,28,0,0,1
Jack Hermansson,20,1,0,0
Mark Madsen,22,1,0,1
Danilo Belluardo,0,0,0,0
Gilbert Burns,30,1,1,1
Gunnar Nelson,20,0,0,0
Ion Cutelaba,15,4,0,1
Khalil Rountree Jr.,5,0,0,0
Ovince Saint Preux,14,1,1,1
Michal Oleksiejczuk,37,0,0,0
Nicolas Dalby,31,1,0,1
Alex Oliveira,18,3,0,0
John Phillips,5,0,0,1
Alen Amedovski,2,0,0,0
Makhmud Muradov,54,0,0,1
Alessio Di Chirico,36,0,0,0
Ismail Naurdiev,69,3,0,1
Siyar Bahadurzada,12,0,0,0
Giga Chikadze,59,1,0,1
Brandon Davis,34,3,0,0
Lina Lansberg,21,2,0,1
Macy Chiasson,26,0,0,0
Marc Diakiese,40,4,0,1
Lando Vannata,25,0,0,0
Jack Shore,46,4,1,1
Nohelin Hernandez,6,0,0,0
Yair Rodriguez,2,0,0,1
Jeremy Stephens,0,0,0,0
Carla Esparza,44,4,0,1
Alexa Grasso,45,0,1,0
Brandon Moreno,34,1,0,1
Askar Askarov,30,4,0,0
Irene Aldana,125,0,0,1
Vanessa Melo,68,0,0,0
Steven Peterson,49,0,0,1
Martin Bravo,86,2,0,0
Jose Quinonez,60,2,0,1
Carlos Huachin,32,0,0,0
Kyle Nelson,12,0,0,1
Polo Reyes,6,0,0,0
Angela Hill,92,0,0,1
Ariane Carnelossi,72,0,0,0
Sergio Pettis,96,0,0,1
Tyson Nam,40,0,0,0
Paul Craig,18,1,1,1
Vinicius Moreira,1,0,0,0
Bethe Correia,59,0,0,1
Sijara Eubanks,77,1,0,0
Claudio Puelles,22,4,2,1
Marcos Mariano,2,0,0,0
Justin Gaethje,40,0,0,1
Donald Cerrone,17,0,0,0
Glover Teixeira,43,1,2,1
Nikita Krylov,47,2,1,0
Todd Duffee,30,1,0,1
Jeff Hughes,16,0,0,0
Tristan Connelly,64,0,1,1
Michel Pereira,32,2,0,0
Uriah Hall,34,0,0,1
Antonio Carlos Junior,22,3,0,0
Misha Cirkunov,6,1,1,1
Jimmy Crute,21,0,0,0
Augusto Sakai,15,0,0,1
Marcin Tybura,6,0,0,0
Miles Johns,31,1,0,1
Cole Smith,11,1,0,0
Hunter Azure,41,0,0,1
Brad Katona,21,3,0,0
Chas Skelly,21,1,3,1
Jordan Griffin,37,1,2,0
Louis Smolka,59,0,0,1
Ryan MacDonald,30,0,0,0
Austin Hubbard,51,3,0,1
Kyle Prepolec,44,0,0,0
Khabib Nurmagomedov,22,7,2,1
Dustin Poirier,12,0,1,0
Paul Felder,56,0,0,1
Edson Barboza,60,1,0,0
Islam Makhachev,43,0,0,1
Davi Ramos,7,0,0,0
Curtis Blaydes,25,5,0,1
Shamil Abdurakhimov,3,0,0,0
Diego Ferreira,109,0,0,1
Mairbek Taisumov,51,0,0,0
Joanne Calderwood,101,2,0,1
Andrea Lee,61,3,0,0
Zubaira Tukhugov,22,6,0,1
Lerone Murphy,28,0,2,0
Sarah Moras,44,0,1,1
Liana Jojua,19,2,0,0
Ottman Azaitar,27,0,0,1
Teemu Packalen,8,0,0,0
Belal Muhammad,49,2,1,1
Takashi Sato,29,1,0,0
Muslim Salikhov,10,0,0,1
Nordine Taleb,6,0,0,0
Omari Akhmedov,26,2,0,1
Zak Cummings,17,0,0,0
Don Madge,21,3,0,1
Fares Ziam,10,0,0,0
Weili Zhang,29,0,0,1
Jessica Andrade,4,0,0,0
Jingliang Li,59,2,0,1
Elizeu Zaleski dos Santos,54,0,0,0
Kai Kara-France,91,1,0,1
Mark De La Rosa,60,1,0,0
Kenan Song,58,0,0,1
Derrick Krantz,33,3,1,0
Mizuki Inoue,93,0,0,1
Yanan Wu,123,0,0,0
Anthony Hernandez,59,6,1,1
Junyong Park,81,0,0,0
Su Mudaerji,93,1,0,1
Andre Soukhamthath,23,0,0,0
Da-Un Jung,81,0,1,1
Khadis Ibragimov,88,1,0,0
Damir Ismagulov,71,0,0,1
Thiago Moises,36,0,0,0
Heili Alateng,36,3,0,1
Danaa Batgerel,85,0,0,0
Karol Rosa,171,0,0,1
Lara Procopio,165,0,0,0
Stipe Miocic,123,1,0,1
Daniel Cormier,181,1,0,0
Nate Diaz,114,1,0,1
Anthony Pettis,69,0,1,0
Paulo Costa,118,0,0,1
Yoel Romero,125,1,0,0
Sodiq Yusuff,34,0,0,1
Gabriel Benitez,24,0,0,0
Derek Brunson,81,2,0,1
Ian Heinisch,58,0,0,0
Khama Worthy,21,0,0,1
Devonte Smith,15,0,0,0
Cory Sandhagen,62,0,0,1
Raphael Assuncao,45,4,0,0
Drakkar Klose,99,2,0,1
Christos Giagos,87,2,1,0
Casey Kenney,43,2,1,1
Manny Bermudez,37,3,0,0
Hannah Cifers,70,1,1,1
Jodie Esquibel,43,3,0,0
Kyung Ho Kang,50,3,0,1
Brandon Davis,77,1,0,0
Sabina Mazo,108,4,0,1
Shana Dobson,33,0,0,0
Valentina Shevchenko,42,1,0,1
Liz Carmouche,18,0,0,0
Vicente Luque,84,0,1,1
Mike Perry,87,0,0,0
Eduardo Garagorri,65,1,0,1
Humberto Bandenay,32,4,0,0
Volkan Oezdemir,64,0,0,1
Ilir Latifi,18,1,0,0
Rodolfo Vieira,18,3,1,1
Oskar Piechota,22,0,0,0
Enrique Barzola,83,3,0,1
Bobby Moffett,90,0,0,0
Gilbert Burns,42,3,0,1
Aleksei Kunchenko,47,0,0,0
Ciryl Gane,15,0,1,1
Raphael Pessoa,7,0,0,0
Marina Rodriguez,84,1,1,1
Tecia Torres,41,0,0,0
Rogerio Bontorin,8,2,0,1
Raulian Paiva,3,0,0,0
Chris Gutierrez,48,1,0,1
Geraldo de Freitas,40,2,0,0
Alex Da Silva,17,3,0,1
Kazula Vargas,20,0,0,0
Veronica Macedo,1,0,1,1
Polyana Viana,1,1,0,0
Colby Covington,179,10,0,1
Robbie Lawler,78,0,0,0
Jim Miller,2,0,1,1
Clay Guida,2,0,0,0
Nasrat Haqparast,21,0,0,1
Joaquim Silva,15,0,0,0
Gerald Meerschaert,6,1,1,1
Trevin Giles,8,1,0,0
Scott Holtzman,44,1,0,1
Dong Hyun Ma,16,1,0,0
Kennedy Nzechukwu,50,0,0,1
Darko Stosic,60,4,0,0
Mickey Gall,50,1,0,1
Salim Touahri,48,0,0,0
Antonina Shevchenko,16,0,3,1
Lucie Pudilova,6,1,0,0
Matt Schnell,3,0,1,1
Jordan Espinosa,5,0,0,0
Lauren Murphy,24,0,0,1
Mara Romero Borella,22,1,0,0
Claudio Silva,32,1,1,1
Cole Williams,2,0,0,0
Miranda Granger,61,0,0,1
Hannah Goldy,55,0,0,0
Max Holloway,129,0,0,1
Frankie Edgar,96,1,0,0
Cris Cyborg,122,0,0,1
Felicia Spencer,38,0,0,0
Geoff Neal,41,2,0,1
Niko Price,24,0,0,0
Arman Tsarukyan,47,2,0,1
Olivier Aubin-Mercier,23,0,0,0
Krzysztof Jotko,40,1,0,1
Marc-Andre Barriault,39,1,0,0
Viviane Araujo,67,2,0,1
Alexis Davis,68,0,0,0
Hakeem Dawodu,80,0,0,1
Yoshinori Horie,39,0,0,0
Gavin Tucker,37,5,2,1
SeungWoo Choi,23,2,0,0
Deiveson Figueiredo,67,2,0,1
Alexandre Pantoja,61,2,0,0
Gillian Robertson,29,2,0,1
Sarah Frota,9,0,0,0
Erik Koch,37,4,0,1
Kyle Stewart,23,0,0,0
Leon Edwards,92,3,0,1
Rafael Dos Anjos,81,0,0,0
Walt Harris,4,0,0,1
Aleksei Oleinik,1,0,0,0
Greg Hardy,36,0,0,1
Juan Adams,3,0,0,0
Dan Hooker,22,0,0,1
James Vick,7,0,0,0
Alexander Hernandez,25,0,0,1
Francisco Trinaldo,25,0,0,0
Andrei Arlovski,152,0,0,1
Ben Rothwell,70,0,0,0
Alex Caceres,94,0,0,1
Steven Peterson,67,2,0,0
Raquel Pennington,47,1,0,1
Irene Aldana,52,0,0,0
Klidson Abreu,36,1,0,1
Sam Alvey,28,0,0,0
Jennifer Maia,83,0,0,1
Roxanne Modafferi,29,0,0,0
Ray Borg,15,6,1,1
Gabriel Silva,8,1,0,0
Mario Bautista,129,0,0,1
Jinsoo Son,95,2,0,0
Felipe Colares,23,2,0,1
Domingo Pilarte,11,2,1,0
Germaine de Randamie,4,0,0,1
Aspen Ladd,0,0,0,0
Urijah Faber,11,0,0,1
Ricky Simon,4,0,0,0
Josh Emmett,27,0,0,1
Mirsad Bektic,10,0,0,0
Karl Roberson,50,0,0,1
Wellington Turman,25,4,2,0
Marvin Vettori,78,2,0,1
Cezar Ferreira,39,0,0,0
Mike Rodriguez,70,0,0,1
John Allan,55,4,3,0
Andre Fili,19,0,0,1
Sheymon Moraes,11,0,0,0
Julianna Pena,45,2,0,1
Nicco Montano,38,3,0,0
Ryan Hall,36,0,1,1
Darren Elkins,29,0,0,0
Jonathan Martinez,32,0,0,1
Liu Pingyuan,27,0,0,0
Brianna Van Buren,72,3,0,1
Livinha Souza,23,2,0,0
Benito Lopez,54,0,0,1
